Table 0 Row 5 Col 1 Para 0: Highlighted: ' ', Color: YELLOW (7)
Table 0 Row 5 Col 1 Para 0: Highlighted: 'Project', Color: YELLOW (7)
Table 0 Row 5 Col 1 Para 0: Highlighted: ' ', Color: YELLOW (7)
Table 0 Row 5 Col 1 Para 0: Highlighted: 'Execution', Color: YELLOW (7)
Table 0 Row 5 Col 1 Para 0: Highlighted: ' ', Color: YELLOW (7)
Table 0 Row 5 Col 1 Para 0: Highlighted: '&', Color: YELLOW (7)
Table 0 Row 5 Col 1 Para 0: Highlighted: ' ', Color: YELLOW (7)
Table 0 Row 5 Col 1 Para 0: Highlighted: 'Complete', Color: YELLOW (7)
Table 0 Row 5 Col 1 Para 0: Highlighted: ' ', Color: YELLOW (7)
Table 0 Row 5 Col 1 Para 0: Highlighted: 'EPC Integration and Transportation charges etc.', Color: YELLOW (7)
Table 0 Row 5 Col 2 Para 0: Highlighted: '53.46', Color: YELLOW (7)
Table 0 Row 6 Col 2 Para 0: Highlighted: '201.60', Color: YELLOW (7)
